Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-00158,2025-01-12,2025-01-15,CUST-0287,Small Business,South,Alabama,Birmingham,Furniture,Chairs,Visitor Chair,714.27,6,0.0,118.97
ORD-00754,2025-01-12,2025-01-15,CUST-0271,Corporate,West,Nevada,Reno,Technology,Phones,Budget Smartphone X,1517.5,5,0.2,89.13
ORD-01498,2025-01-12,2025-01-15,CUST-0026,Small Business,West,Washington,Spokane,Technology,Accessories,Mechanical Keyboard,436.34,6,0.0,73.21
ORD-00061,2025-01-13,2025-01-16,CUST-0042,Corporate,South,North Carolina,Raleigh,Office Supplies,Storage,Archive Box Set,196.42,6,0.1,35.34
ORD-00820,2025-01-13,2025-01-18,CUST-0178,Consumer,South,South Carolina,Columbia,Technology,Accessories,Mechanical Keyboard,498.26,7,0.15,39.38
ORD-00233,2025-01-13,2025-01-18,CUST-0204,Corporate,East,Georgia,Augusta,Furniture,Desks,Office Work Desk,1729.59,6,0.15,114.44
ORD-00179,2025-01-14,2025-01-15,CUST-0319,Corporate,East,Georgia,Savannah,Office Supplies,Paper,Premium Printing Paper,221.05,6,0.15,39.34
ORD-01466,2025-01-14,2025-01-17,CUST-0131,Corporate,West,Arizona,Phoenix,Technology,Laptops,Ultrabook Air 13,1106.67,1,0.1,146.77
ORD-00433,2025-01-14,2025-01-19,CUST-0272,Consumer,South,Tennessee,Memphis,Office Supplies,Binders,A4 Ring Binder,56.19,5,0.05,13.46
ORD-00727,2025-01-15,2025-01-19,CUST-0375,Consumer,West,California,Los Angeles,Office Supplies,Storage,File Storage Box,55.68,3,0.1,10.04
ORD-00600,2025-01-15,2025-01-18,CUST-0102,Consumer,West,Oregon,Eugene,Technology,Laptops,Business Laptop 14,6794.99,7,0.0,990.62
ORD-00778,2025-01-15,2025-01-16,CUST-0245,Corporate,South,Louisiana,Shreveport,Technology,Phones,Smartphone Pro 12,3581.42,6,0.2,280.71
ORD-01320,2025-01-15,2025-01-19,CUST-0371,Corporate,West,Washington,Spokane,Technology,Phones,5G Phone Max,3273.73,6,0.1,490.38
ORD-00417,2025-01-16,2025-01-18,CUST-0070,Corporate,Central,Ohio,Columbus,Technology,Laptops,Gaming Laptop G5,2681.55,2,0.05,423.33
ORD-01459,2025-01-16,2025-01-21,CUST-0359,Consumer,West,Arizona,Phoenix,Technology,Laptops,Ultrabook Air 13,2565.18,2,0.0,539.49
ORD-00094,2025-01-17,2025-01-18,CUST-0089,Consumer,Central,Texas,Austin,Technology,Accessories,USB-C Hub,215.72,5,0.15,22.19
ORD-00167,2025-01-17,2025-01-22,CUST-0261,Consumer,West,Nevada,Las Vegas,Office Supplies,Storage,Archive Box Set,89.74,3,0.1,14.44
ORD-00078,2025-01-17,2025-01-20,CUST-0150,Consumer,South,Tennessee,Knoxville,Technology,Phones,5G Phone Max,2629.89,4,0.05,378.98
ORD-00742,2025-01-17,2025-01-22,CUST-0208,Consumer,South,North Carolina,Raleigh,Office Supplies,Storage,File Storage Box,121.52,7,0.15,22.08
ORD-00559,2025-01-18,2025-01-20,CUST-0202,Consumer,West,California,Fresno,Office Supplies,Storage,Desktop Organizer,73.22,3,0.1,13.86
ORD-00172,2025-01-18,2025-01-21,CUST-0345,Consumer,West,Arizona,Tucson,Furniture,Desks,Compact Study Desk,1308.49,7,0.1,139.87
ORD-00900,2025-01-18,2025-01-23,CUST-0321,Corporate,Central,Michigan,Detroit,Office Supplies,Storage,Archive Box Set,151.1,4,0.0,30.74
ORD-00972,2025-01-18,2025-01-22,CUST-0210,Consumer,West,Oregon,Eugene,Technology,Accessories,USB-C Hub,96.29,2,0.05,12.07
ORD-00995,2025-01-18,2025-01-23,CUST-0018,Consumer,South,North Carolina,Greensboro,Furniture,Chairs,Visitor Chair,323.96,3,0.15,29.75
ORD-00486,2025-01-19,2025-01-24,CUST-0231,Consumer,West,Nevada,Las Vegas,Technology,Accessories,Mechanical Keyboard,161.82,2,0.05,24.53
ORD-00828,2025-01-19,2025-01-24,CUST-0278,Consumer,West,Arizona,Tucson,Technology,Laptops,Business Laptop 14,4373.42,6,0.15,365.91
ORD-00749,2025-01-19,2025-01-22,CUST-0321,Corporate,Central,Texas,Austin,Furniture,Desks,Compact Study Desk,1353.01,6,0.0,210.96
ORD-01222,2025-01-19,2025-01-20,CUST-0254,Consumer,Central,Texas,San Antonio,Office Supplies,Paper,Copy Paper Box,78.57,3,0.2,8.25
ORD-00375,2025-01-19,2025-01-23,CUST-0182,Corporate,Central,Ohio,Cleveland,Furniture,Tables,Round Conference Table,1232.31,3,0.1,138.84
ORD-00132,2025-01-20,2025-01-24,CUST-0181,Consumer,Central,Wisconsin,Milwaukee,Office Supplies,Binders,Document Folder Set,76.02,5,0.0,19.62
ORD-01286,2025-01-20,2025-01-25,CUST-0126,Corporate,West,Arizona,Tucson,Technology,Phones,Smartphone Pro 12,737.68,1,0.0,136.08
ORD-00922,2025-01-20,2025-01-24,CUST-0162,Corporate,Central,Ohio,Cincinnati,Furniture,Desks,Standing Desk,3064.08,6,0.05,369.31
ORD-00188,2025-01-21,2025-01-22,CUST-0161,Corporate,Central,Wisconsin,Milwaukee,Technology,Phones,5G Phone Max,1386.57,3,0.3,19.55
ORD-00682,2025-01-21,2025-01-24,CUST-0181,Small Business,East,Georgia,Savannah,Technology,Phones,Budget Smartphone X,2469.61,7,0.1,298.3
ORD-00369,2025-01-21,2025-01-26,CUST-0356,Small Business,South,Louisiana,Shreveport,Office Supplies,Binders,A4 Ring Binder,78.63,7,0.05,17.91
ORD-01181,2025-01-21,2025-01-25,CUST-0137,Small Business,West,Washington,Seattle,Office Supplies,Paper,Copy Paper Box,57.8,2,0.15,9.3
ORD-00401,2025-01-22,2025-01-26,CUST-0179,Corporate,Central,Michigan,Detroit,Furniture,Chairs,Ergonomic Office Chair,1845.15,7,0.0,255.62
ORD-00173,2025-01-22,2025-01-27,CUST-0278,Consumer,South,Louisiana,New Orleans,Technology,Accessories,USB-C Hub,98.09,2,0.0,20.06
ORD-00380,2025-01-22,2025-01-25,CUST-0149,Corporate,Central,Wisconsin,Madison,Technology,Phones,Budget Smartphone X,2202.91,6,0.0,360.35
ORD-01169,2025-01-22,2025-01-27,CUST-0276,Consumer,Central,Ohio,Columbus,Technology,Phones,Budget Smartphone X,2634.39,7,0.0,402.24
ORD-00594,2025-01-23,2025-01-26,CUST-0340,Consumer,Central,Texas,Houston,Technology,Laptops,Business Laptop 14,3434.83,4,0.1,506.33
ORD-00599,2025-01-23,2025-01-25,CUST-0359,Consumer,East,Pennsylvania,Philadelphia,Furniture,Desks,Compact Study Desk,566.03,3,0.1,67.64
ORD-00239,2025-01-23,2025-01-27,CUST-0205,Corporate,South,South Carolina,Columbia,Office Supplies,Paper,Premium Printing Paper,80.45,2,0.15,14.21
ORD-01106,2025-01-24,2025-01-29,CUST-0234,Consumer,Central,Ohio,Columbus,Technology,Phones,Budget Smartphone X,1730.3,5,0.1,194.18
ORD-01199,2025-01-24,2025-01-27,CUST-0307,Consumer,West,Oregon,Portland,Technology,Laptops,Business Laptop 14,6041.06,7,0.05,1044.93
ORD-00614,2025-01-24,2025-01-29,CUST-0337,Consumer,South,Louisiana,New Orleans,Office Supplies,Paper,Premium Printing Paper,47.62,1,0.0,10.56
ORD-00303,2025-01-25,2025-01-30,CUST-0339,Consumer,Central,Michigan,Detroit,Furniture,Chairs,Executive Chair,368.96,1,0.05,54.59
ORD-00991,2025-01-25,2025-01-26,CUST-0239,Consumer,South,North Carolina,Greensboro,Technology,Accessories,Mechanical Keyboard,540.91,7,0.0,87.84
ORD-00408,2025-01-25,2025-01-26,CUST-0203,Consumer,South,South Carolina,Charleston,Office Supplies,Binders,A4 Ring Binder,62.61,7,0.2,7.42
ORD-01494,2025-01-26,2025-01-29,CUST-0110,Consumer,East,New York,Buffalo,Furniture,Desks,Office Work Desk,721.11,3,0.3,-4.19
ORD-00113,2025-01-26,2025-01-28,CUST-0175,Small Business,Central,Illinois,Chicago,Technology,Phones,5G Phone Max,3981.22,7,0.15,344.81
ORD-01090,2025-01-26,2025-01-31,CUST-0376,Consumer,East,Florida,Orlando,Technology,Laptops,Gaming Laptop G5,3727.25,3,0.15,360.19
ORD-00142,2025-01-27,2025-01-30,CUST-0263,Corporate,West,Nevada,Las Vegas,Technology,Laptops,Ultrabook Air 13,2364.83,2,0.0,361.29
ORD-00927,2025-01-27,2025-01-28,CUST-0028,Small Business,Central,Texas,San Antonio,Office Supplies,Storage,Archive Box Set,184.45,5,0.0,35.69
ORD-01319,2025-01-28,2025-01-29,CUST-0089,Corporate,Central,Michigan,Detroit,Technology,Phones,5G Phone Max,683.03,1,0.0,129.43
ORD-00701,2025-01-29,2025-02-03,CUST-0054,Consumer,East,Florida,Jacksonville,Office Supplies,Paper,Recycled Paper Pack,116.8,5,0.1,20.11
ORD-00535,2025-01-29,2025-02-02,CUST-0163,Consumer,East,Pennsylvania,Philadelphia,Technology,Laptops,Ultrabook Air 13,3193.87,3,0.1,345.98
ORD-00249,2025-01-29,2025-02-03,CUST-0170,Consumer,East,New York,Buffalo,Office Supplies,Storage,Archive Box Set,33.9,1,0.1,5.33
ORD-00376,2025-01-30,2025-02-04,CUST-0022,Consumer,South,Alabama,Birmingham,Office Supplies,Paper,Copy Paper Box,147.51,5,0.1,24.57
ORD-00270,2025-01-30,2025-02-04,CUST-0310,Consumer,Central,Wisconsin,Milwaukee,Technology,Phones,Budget Smartphone X,825.26,3,0.3,10.99
ORD-00370,2025-01-30,2025-02-02,CUST-0038,Corporate,West,Oregon,Portland,Technology,Laptops,Business Laptop 14,3058.93,4,0.2,196.76
ORD-01147,2025-01-30,2025-02-03,CUST-0084,Corporate,East,New York,New York City,Technology,Laptops,Business Laptop 14,3320.17,4,0.1,451.73
ORD-01026,2025-01-31,2025-02-05,CUST-0113,Consumer,Central,Ohio,Columbus,Furniture,Desks,Office Work Desk,1147.44,4,0.15,72.71
ORD-01173,2025-01-31,2025-02-01,CUST-0110,Consumer,South,North Carolina,Charlotte,Technology,Phones,Budget Smartphone X,2526.13,7,0.05,372.0
ORD-01215,2025-02-01,2025-02-05,CUST-0389,Consumer,West,Washington,Tacoma,Office Supplies,Binders,A4 Ring Binder,58.59,5,0.0,13.36
ORD-01012,2025-02-02,2025-02-06,CUST-0230,Corporate,West,Washington,Tacoma,Office Supplies,Binders,Document Folder Set,66.78,5,0.05,12.78
ORD-01470,2025-02-02,2025-02-05,CUST-0207,Consumer,South,South Carolina,Columbia,Technology,Phones,Budget Smartphone X,920.33,3,0.2,67.29
ORD-00716,2025-02-02,2025-02-07,CUST-0234,Small Business,South,South Carolina,Charleston,Technology,Laptops,Ultrabook Air 13,7174.9,7,0.1,814.12
ORD-00447,2025-02-04,2025-02-05,CUST-0001,Corporate,East,Florida,Tampa,Office Supplies,Binders,Document Folder Set,85.69,7,0.2,12.51
ORD-00873,2025-02-04,2025-02-08,CUST-0172,Corporate,East,New York,Rochester,Office Supplies,Binders,Document Folder Set,42.91,3,0.0,9.43
ORD-01493,2025-02-04,2025-02-09,CUST-0341,Consumer,East,Pennsylvania,Allentown,Office Supplies,Storage,Archive Box Set,115.44,4,0.15,18.22
ORD-01107,2025-02-04,2025-02-06,CUST-0307,Consumer,Central,Wisconsin,Milwaukee,Technology,Phones,Budget Smartphone X,2491.46,7,0.05,308.36
ORD-00005,2025-02-04,2025-02-06,CUST-0044,Consumer,Central,Texas,San Antonio,Furniture,Desks,Standing Desk,2558.73,6,0.1,319.13
ORD-01237,2025-02-05,2025-02-09,CUST-0223,Consumer,East,Florida,Miami,Technology,Phones,5G Phone Max,1976.27,3,0.05,272.13
ORD-00852,2025-02-05,2025-02-10,CUST-0294,Consumer,West,Arizona,Phoenix,Technology,Laptops,Ultrabook Air 13,1928.96,2,0.15,176.89
ORD-01410,2025-02-05,2025-02-08,CUST-0076,Consumer,Central,Texas,Dallas,Technology,Accessories,Wireless Mouse,51.5,2,0.05,8.23
ORD-01015,2025-02-05,2025-02-08,CUST-0271,Consumer,West,Oregon,Eugene,Furniture,Chairs,Ergonomic Office Chair,1372.51,7,0.15,99.23
ORD-00037,2025-02-05,2025-02-06,CUST-0369,Corporate,Central,Texas,Austin,Furniture,Chairs,Ergonomic Office Chair,1541.89,7,0.15,100.53
ORD-01421,2025-02-06,2025-02-10,CUST-0028,Consumer,East,Pennsylvania,Pittsburgh,Office Supplies,Storage,Desktop Organizer,167.11,6,0.0,41.66
ORD-00916,2025-02-06,2025-02-10,CUST-0302,Small Business,South,Tennessee,Knoxville,Technology,Laptops,Business Laptop 14,2387.63,3,0.15,268.74
ORD-01071,2025-02-06,2025-02-10,CUST-0163,Small Business,South,Louisiana,Baton Rouge,Technology,Phones,5G Phone Max,1657.63,3,0.2,97.0
ORD-01102,2025-02-06,2025-02-09,CUST-0206,Corporate,East,Florida,Jacksonville,Furniture,Tables,Round Conference Table,2764.3,7,0.1,330.24
ORD-01048,2025-02-06,2025-02-09,CUST-0079,Consumer,South,Tennessee,Memphis,Technology,Accessories,Wireless Mouse,161.75,6,0.1,19.55
ORD-00564,2025-02-06,2025-02-09,CUST-0287,Consumer,Central,Texas,San Antonio,Technology,Laptops,Ultrabook Air 13,6749.29,6,0.0,973.8
ORD-00415,2025-02-07,2025-02-11,CUST-0381,Corporate,Central,Wisconsin,Milwaukee,Furniture,Tables,Meeting Table,1523.39,3,0.0,264.65
ORD-00848,2025-02-07,2025-02-10,CUST-0011,Consumer,East,Florida,Miami,Technology,Phones,5G Phone Max,1789.67,3,0.1,251.51
ORD-00497,2025-02-07,2025-02-11,CUST-0204,Corporate,East,New York,Rochester,Technology,Accessories,USB-C Hub,95.62,2,0.0,19.93
ORD-00955,2025-02-07,2025-02-10,CUST-0026,Corporate,West,Nevada,Las Vegas,Technology,Phones,5G Phone Max,2333.41,5,0.3,41.86
ORD-00710,2025-02-07,2025-02-12,CUST-0090,Small Business,South,Tennessee,Nashville,Office Supplies,Paper,Recycled Paper Pack,22.23,1,0.15,3.69
ORD-00468,2025-02-08,2025-02-10,CUST-0025,Corporate,South,North Carolina,Greensboro,Furniture,Desks,Compact Study Desk,411.15,2,0.1,35.61
ORD-00099,2025-02-08,2025-02-12,CUST-0389,Corporate,Central,Michigan,Detroit,Office Supplies,Binders,Premium Binder,52.56,4,0.3,3.81
ORD-00032,2025-02-08,2025-02-11,CUST-0096,Consumer,South,North Carolina,Raleigh,Technology,Laptops,Ultrabook Air 13,4612.52,5,0.2,260.28
ORD-01136,2025-02-08,2025-02-09,CUST-0049,Corporate,West,Nevada,Reno,Technology,Laptops,Gaming Laptop G5,5238.86,4,0.0,796.72
ORD-00109,2025-02-08,2025-02-10,CUST-0188,Corporate,East,Pennsylvania,Pittsburgh,Office Supplies,Storage,Desktop Organizer,130.85,5,0.1,25.48
ORD-00388,2025-02-08,2025-02-12,CUST-0230,Consumer,East,Virginia,Norfolk,Technology,Laptops,Ultrabook Air 13,2888.29,3,0.2,183.72
ORD-00776,2025-02-09,2025-02-13,CUST-0301,Consumer,West,Oregon,Portland,Office Supplies,Storage,Archive Box Set,100.3,3,0.0,21.97
ORD-00723,2025-02-10,2025-02-12,CUST-0017,Consumer,South,Tennessee,Nashville,Office Supplies,Paper,Premium Printing Paper,168.7,4,0.05,39.39
ORD-01484,2025-02-10,2025-02-15,CUST-0213,Consumer,West,Nevada,Las Vegas,Furniture,Desks,Compact Study Desk,1586.14,7,0.0,302.57
ORD-00621,2025-02-10,2025-02-15,CUST-0287,Consumer,East,Virginia,Virginia Beach,Technology,Laptops,Gaming Laptop G5,1349.86,1,0.0,209.91
ORD-01164,2025-02-10,2025-02-13,CUST-0024,Small Business,West,Nevada,Reno,Office Supplies,Storage,File Storage Box,63.06,3,0.0,14.09
ORD-00548,2025-02-11,2025-02-16,CUST-0195,Small Business,West,Oregon,Eugene,Furniture,Tables,Round Conference Table,2326.17,7,0.3,-11.2
ORD-00984,2025-02-11,2025-02-12,CUST-0360,Corporate,South,South Carolina,Columbia,Technology,Phones,Budget Smartphone X,829.99,2,0.0,139.78
ORD-00453,2025-02-11,2025-02-14,CUST-0108,Corporate,South,Alabama,Birmingham,Technology,Laptops,Business Laptop 14,4579.12,5,0.05,764.78
ORD-01103,2025-02-12,2025-02-15,CUST-0353,Corporate,South,North Carolina,Greensboro,Technology,Accessories,Mechanical Keyboard,222.07,3,0.1,30.53
ORD-01159,2025-02-12,2025-02-15,CUST-0198,Consumer,West,Arizona,Tucson,Technology,Laptops,Gaming Laptop G5,8437.83,6,0.05,1369.03
ORD-01479,2025-02-12,2025-02-14,CUST-0139,Consumer,East,Florida,Miami,Technology,Phones,Budget Smartphone X,1461.35,4,0.1,174.5
ORD-01154,2025-02-12,2025-02-13,CUST-0148,Small Business,East,New York,Buffalo,Office Supplies,Binders,Premium Binder,104.36,7,0.2,14.34
ORD-00539,2025-02-13,2025-02-14,CUST-0275,Consumer,Central,Wisconsin,Milwaukee,Technology,Phones,Budget Smartphone X,856.7,2,0.0,175.89
ORD-00571,2025-02-13,2025-02-15,CUST-0284,Consumer,South,North Carolina,Greensboro,Office Supplies,Storage,File Storage Box,38.1,2,0.1,7.8
ORD-00953,2025-02-13,2025-02-17,CUST-0109,Corporate,West,Oregon,Portland,Technology,Laptops,Gaming Laptop G5,5125.18,4,0.1,551.98
ORD-01271,2025-02-13,2025-02-18,CUST-0369,Consumer,Central,Michigan,Detroit,Technology,Laptops,Business Laptop 14,4977.84,6,0.0,874.55
ORD-00897,2025-02-14,2025-02-18,CUST-0114,Small Business,West,Nevada,Reno,Furniture,Chairs,Visitor Chair,323.71,3,0.2,14.24
ORD-00771,2025-02-14,2025-02-18,CUST-0243,Consumer,West,Washington,Spokane,Technology,Accessories,Wireless Mouse,133.44,5,0.0,24.24
ORD-00595,2025-02-14,2025-02-16,CUST-0357,Consumer,South,Tennessee,Knoxville,Furniture,Tables,Side Table,316.43,2,0.05,42.72
ORD-00324,2025-02-14,2025-02-15,CUST-0264,Corporate,East,Florida,Miami,Furniture,Chairs,Visitor Chair,411.6,3,0.0,69.09
ORD-01066,2025-02-14,2025-02-18,CUST-0252,Small Business,Central,Texas,Houston,Furniture,Tables,Side Table,892.97,6,0.0,134.44
ORD-01030,2025-02-15,2025-02-16,CUST-0392,Corporate,Central,Texas,Austin,Furniture,Tables,Side Table,719.87,7,0.3,-3.42
ORD-00523,2025-02-15,2025-02-19,CUST-0016,Consumer,East,Florida,Jacksonville,Office Supplies,Paper,Copy Paper Box,34.16,1,0.0,9.76
ORD-00023,2025-02-15,2025-02-20,CUST-0161,Consumer,West,Oregon,Eugene,Furniture,Chairs,Executive Chair,1933.49,5,0.1,168.53
ORD-00248,2025-02-15,2025-02-19,CUST-0024,Consumer,West,Arizona,Tucson,Technology,Laptops,Ultrabook Air 13,3364.82,3,0.05,519.49
ORD-00606,2025-02-15,2025-02-18,CUST-0048,Consumer,West,Oregon,Portland,Technology,Accessories,Wireless Mouse,162.23,6,0.05,28.25
ORD-00705,2025-02-16,2025-02-19,CUST-0228,Consumer,Central,Ohio,Cleveland,Office Supplies,Storage,File Storage Box,105.9,5,0.0,29.78
ORD-01009,2025-02-16,2025-02-19,CUST-0172,Consumer,East,Pennsylvania,Allentown,Furniture,Tables,Meeting Table,2331.91,5,0.1,241.83
ORD-00842,2025-02-16,2025-02-17,CUST-0074,Small Business,South,Alabama,Montgomery,Furniture,Desks,Standing Desk,1280.14,3,0.15,85.44
ORD-00665,2025-02-16,2025-02-17,CUST-0349,Consumer,West,Arizona,Phoenix,Furniture,Chairs,Ergonomic Office Chair,533.65,2,0.0,82.77
ORD-00255,2025-02-16,2025-02-18,CUST-0015,Consumer,East,New York,Buffalo,Technology,Phones,Smartphone Pro 12,2364.65,3,0.0,391.91
ORD-00461,2025-02-17,2025-02-22,CUST-0293,Small Business,East,Virginia,Norfolk,Technology,Accessories,USB-C Hub,242.27,5,0.0,37.77
ORD-00430,2025-02-17,2025-02-19,CUST-0050,Consumer,South,Tennessee,Knoxville,Furniture,Tables,Meeting Table,2766.0,5,0.05,399.53
ORD-00058,2025-02-17,2025-02-19,CUST-0028,Small Business,West,California,San Diego,Technology,Accessories,Wireless Mouse,113.6,4,0.0,20.32
ORD-01400,2025-02-17,2025-02-18,CUST-0334,Consumer,Central,Illinois,Chicago,Technology,Laptops,Gaming Laptop G5,2949.39,2,0.0,429.31
ORD-00009,2025-02-17,2025-02-19,CUST-0255,Corporate,East,Georgia,Augusta,Technology,Accessories,Wireless Mouse,89.97,3,0.0,17.88
ORD-00931,2025-02-17,2025-02-20,CUST-0015,Corporate,Central,Ohio,Cincinnati,Office Supplies,Paper,Premium Printing Paper,38.17,1,0.1,7.1
ORD-00515,2025-02-18,2025-02-23,CUST-0254,Consumer,East,New York,Rochester,Technology,Phones,Smartphone Pro 12,3484.43,5,0.1,358.39
ORD-01416,2025-02-19,2025-02-22,CUST-0131,Corporate,South,North Carolina,Raleigh,Office Supplies,Paper,Premium Printing Paper,234.96,7,0.2,28.63
ORD-01397,2025-02-19,2025-02-24,CUST-0129,Consumer,East,Virginia,Norfolk,Technology,Laptops,Gaming Laptop G5,5550.46,5,0.2,394.19
ORD-00728,2025-02-20,2025-02-21,CUST-0019,Small Business,West,Nevada,Las Vegas,Furniture,Tables,Meeting Table,1947.01,4,0.15,156.73
